id_cs;uid;chargePointParkingSpaceNumbers;roaming;chargePointPosition;vehicle_type;chargePointPublicComment;parkingsensor_status;id;physical_reference;floor_level;chargingStationPosition
22246;49300;;False;;four_wheeled;;-;DE*TUE*E00021*001;;;
22246;49302;;False;;four_wheeled;;-;DE*TUE*E00021*002;;;
70306;178434;;False;;four_wheeled;;-;DE*TUE*E00022*001;;;
70306;178436;;False;;four_wheeled;;-;DE*TUE*E00022*002;;;
70306;178438;;False;;four_wheeled;;-;DE*TUE*E00022*003;;;
140898;332762;;False;;four_wheeled;;-;DE*TUE*E00023*001;;;
140898;332764;;False;;four_wheeled;;-;DE*TUE*E00023*002;;;
143434;338746;;False;;four_wheeled;;-;DE*TUE*E00025*001;;;
143434;338748;;False;;four_wheeled;;-;DE*TUE*E00025*002;;;
143436;338750;;False;;four_wheeled;;-;DE*TUE*E00026*001;;;
143436;338752;;False;;four_wheeled;;-;DE*TUE*E00026*002;;;
154720;364022;;False;;four_wheeled;;-;DE*TUE*E00031*001;;;
154720;364024;;False;;four_wheeled;;-;DE*TUE*E00031*002;;;
154722;364028;;False;;four_wheeled;;-;DE*TUE*E00032*001;;;Parkplatz 
154722;364030;;False;;four_wheeled;;-;DE*TUE*E00032*002;;;Parkplatz 
158914;373310;;False;;four_wheeled;;-;DE*TUE*E00033*001;;;
158914;373312;;False;;four_wheeled;;-;DE*TUE*E00033*002;;;
159346;374526;;False;;four_wheeled;;-;DE*TUE*E00034*001;;;
159346;374528;;False;;four_wheeled;;-;DE*TUE*E00035*001;;;
159346;374530;;False;;four_wheeled;;-;DE*TUE*E00036*001;;;DE0006407207084160412127701101002
159346;374532;;False;;four_wheeled;;-;DE*TUE*E00037*001;;;DE0006407207084160412127701101002
159346;727298;;False;;four_wheeled;;-;DE*TUE*E00035*002;;;
181182;430634;;False;Parkplatz links von der Ladestation;four_wheeled;;-;DE*TUE*E00038*001;;;
181182;430636;;False;DE0072147114400000000000001034801;four_wheeled;;-;DE*TUE*E00038*002;;;
181202;430686;;False;;four_wheeled;;-;DE*TUE*E00039*001;;;
181202;430688;;False;;four_wheeled;;-;DE*TUE*E00039*002;;;
181210;430726;;False;;four_wheeled;;-;DE*TUE*E00040*001;;;
181210;430728;;False;;four_wheeled;;-;DE*TUE*E00040*002;;;
297666;673996;;False;;four_wheeled;;-;DE*TUE*E00044*001;;;
297666;673998;;False;;four_wheeled;;-;DE*TUE*E00044*002;;;
297666;674000;;False;;four_wheeled;;-;DE*TUE*E00044*003;;;
306746;695376;;False;;four_wheeled;;-;DE*TUE*E00041*001;;;
306746;695378;;False;;four_wheeled;;-;DE*TUE*E00041*002;;;
365144;834218;;False;Parkplatz links von der Ladestation;four_wheeled;;-;DE*TUE*E00042*001;;;
365144;834220;;False;Parkplatz rechts von der Ladestation;four_wheeled;;-;DE*TUE*E00042*002;;;
368700;844740;;False;;four_wheeled;;-;DE*TUE*E00045*001;;;
